,WQ,nvar,var,random_state,r2,rmse,mae,smape,r2_test,rmse_test,mae_test,smape_test
0,SS,11,"['Image_Year', 'LH_B7B8AB11', 'NR_B12B4', 'TB_B1B2B3', 'NR_B12B5', 'NR_B12B7', 'NR_B12B6', 'TB_B4B5B6', 'NR_B12B8A', 'NR_B12B3', 'NR_B12B2']",1,0.4792332947254181,2.094807068246783,1.7801376932758395,0.5699879538067184,0.9366461038589478,2.352210535882731,1.8959561905618443,0.4101130576594961
1,SS,11,"['B3_2', 'Image_Year', 'B3_3', 'B2_3', 'B1_3', 'B2_2', 'B3', 'B1_2', 'LH_B5B6B7', 'B2', 'LH_B2B3B4']",1,0.7215467691421509,2.2375563995878847,1.8805013923321736,0.4948752139450776,10.283040046691895,7.493276734983757,5.1262928607100156,0.5913616712218953
2,SS,11,"['LH_B5B6B7', 'Image_Year', 'LH_B4B5B6', 'B5_2', 'B5_3', 'B5', 'B4_2', 'B4', 'B3_2', 'B3', 'B3_3']",1,0.33642464876174927,3.388424465797121,2.491069173004668,0.47275594705197305,1.3249568939208984,5.584695732561267,4.9952347189693125,0.5774175210124727
3,SS,11,"['LH_B5B6B7', 'LH_B4B5B6', 'B5_2', 'B3_2', 'B5_3', 'B3', 'B3_3', 'B4', 'B4_2', 'B5', 'LH_B2B3B4']",1,0.6239688396453857,4.024612729471452,3.04968700166476,0.5025070043837945,1.0984054803848267,5.058460037039173,3.150974302776789,0.4588049567966625
4,SS,11,"['LH_B5B6B7', 'LH_B4B5B6', 'B5_2', 'B5_3', 'B4_2', 'B4_3', 'B5', 'B4', 'B3_2', 'B3_3', 'B3']",1,0.43003326654434204,3.7454999946362646,2.901819705316576,0.48344409059327825,1.0114575624465942,5.4483517020461605,4.903918620287363,0.9051547367727576
0,SS,12,"['Image_Year', 'LH_B7B8AB11', 'NR_B12B4', 'TB_B1B2B3', 'NR_B12B5', 'NR_B12B7', 'NR_B12B6', 'TB_B4B5B6', 'NR_B12B8A', 'NR_B12B3', 'NR_B12B2', 'LH_B2B3B4']",1,0.48165640234947205,2.1069292128173034,1.8025729874433098,0.5739685488158358,0.8813960552215576,2.2827210061728676,1.814348397820683,0.39124508664510943
1,SS,12,"['B3_2', 'Image_Year', 'B3_3', 'B2_3', 'B1_3', 'B2_2', 'B3', 'B1_2', 'LH_B5B6B7', 'B2', 'LH_B2B3B4', 'B1']",1,0.7140898108482361,2.206645825518049,1.8628894700842384,0.49126360055583435,10.64241886138916,7.635051731297746,5.250905814413297,0.6112412939712367
2,SS,12,"['LH_B5B6B7', 'Image_Year', 'LH_B4B5B6', 'B5_2', 'B5_3', 'B5', 'B4_2', 'B4', 'B3_2', 'B3', 'B3_3', 'B4_3']",1,0.3749021887779236,3.5380914466767917,2.558378415727346,0.4781742728479182,1.2401384115219116,5.402984646697104,4.855325419215832,0.5690397629785235
3,SS,12,"['LH_B5B6B7', 'LH_B4B5B6', 'B5_2', 'B3_2', 'B5_3', 'B3', 'B3_3', 'B4', 'B4_2', 'B5', 'LH_B2B3B4', 'B4_3']",1,0.5592316389083862,3.848989642243255,2.9781306371850484,0.49715902606955353,0.9845564365386963,4.859212336924176,3.20936922784579,0.46285521198640056
4,SS,12,"['LH_B5B6B7', 'LH_B4B5B6', 'B5_2', 'B5_3', 'B4_2', 'B4_3', 'B5', 'B4', 'B3_2', 'B3_3', 'B3', 'LH_B7B8AB11']",1,0.4128781855106354,3.701684860623189,2.86523361012087,0.47870524834685235,0.9849276542663574,5.419673747146832,4.8782773567458335,0.9038667745112632
