,WQ,nvar,var,random_state,best_layer,best_alpha,best_score,r2,adjusted_r2,corr_model,rmse,mae,smape,r2_test,corr_test,rmse_test,mae_test,smape_test
4,SS,4,"['LH_B5B6B7', 'LH_B4B5B6', 'B5_2', 'B5_3']",1,5,0.09999999999999999,-0.4544051065875873,-0.020850128975095084,-0.03493082040923445,,5.313223993960458,3.1760160873312264,0.4973623320660364,-0.04826078086438135,,5.756150711549899,4.779138178684287,0.8924553787505118
0,SS,5,"['Image_Year', 'LH_B7B8AB11', 'NR_B12B4', 'TB_B1B2B3', 'NR_B12B5']",1,4,0.01,-0.8611248694818171,0.2813990118351464,0.21360646578185838,0.45647017323708,2.322355521139808,2.0506384877667085,0.6267382775253078,-0.4719289540340508,-0.30950117396667803,2.4022866080601117,1.893277302900569,0.41164732384033875
1,SS,5,"['B3_2', 'Image_Year', 'B3_3', 'B2_3', 'B1_3']",1,8,1e-06,-0.061918737254678155,0.12752105417225468,0.08857110123351597,0.4496893862426373,2.27620945856891,1.9423227385871094,0.5079470832812275,-0.7033053732043344,0.6031691426082938,8.155209564810958,5.533287655088756,0.6511585423990464
2,SS,5,"['LH_B5B6B7', 'Image_Year', 'LH_B4B5B6', 'B5_2', 'B5_3']",1,4,1e-06,-0.08886398301354408,0.5050759785735512,0.4906045159587429,0.7693094420025958,3.883492569909013,2.705610847358938,0.48857469055349567,-0.2525135847302129,0.27190815591662704,5.160288319541752,4.373961054367363,0.5294901206168574
3,SS,5,"['LH_B5B6B7', 'LH_B4B5B6', 'B5_2', 'B3_2', 'B5_3']",1,8,1e-06,-0.5083347088596147,-0.1160464908314891,-0.14030837106695615,-3.5055824898412344e-17,4.831038924190526,3.0896006894570527,0.5027485302471261,-0.122308311057572,1.7996650670154581e-16,6.9165838701781714,3.4803217466245333,0.4735699007231162
4,SS,5,"['LH_B5B6B7', 'LH_B4B5B6', 'B5_2', 'B5_3', 'B4_2']",1,4,1e-06,-0.31795731014456013,0.2667608110642774,0.2540750119477424,0.5556954979770128,4.710864325257456,3.1291188866777717,0.49399299657416834,0.19679734157344242,0.6612411974053204,5.148302523827015,4.565170610842123,0.8715303441399124
0,SS,6,"['Image_Year', 'LH_B7B8AB11', 'NR_B12B4', 'TB_B1B2B3', 'NR_B12B5', 'NR_B12B7']",1,"(4, 4)",1e-06,-1.947129609506408,-0.01928273555292881,-0.13689228196288217,9.28904705963248e-17,2.430906758847346,2.1236426314277503,0.6458419346044508,-0.35854656001678453,-1.5079654654957292e-16,2.3947929005414577,1.8626544096523987,0.40507023402157305
1,SS,6,"['B3_2', 'Image_Year', 'B3_3', 'B2_3', 'B1_3', 'B2_2']",1,4,0.09999999999999999,-0.023794321195154212,0.25649059668836816,0.21630089921206375,0.45034645028633113,2.1718393090644423,1.8643241303603169,0.49331210283994553,-0.49100799294678876,0.5189188097694883,7.636240032676475,4.993282314171653,0.558618942423947
2,SS,6,"['LH_B5B6B7', 'Image_Year', 'LH_B4B5B6', 'B5_2', 'B5_3', 'B5']",1,4,0.01,-0.20727884356273368,0.5099597905022918,0.49266425369649036,0.7738764954757142,3.8738768429339574,2.707730128526611,0.4892158218934189,-0.35896746670408963,0.24622985053655275,5.37510899354597,4.604541560354115,0.54779759626022
3,SS,6,"['LH_B5B6B7', 'LH_B4B5B6', 'B5_2', 'B3_2', 'B5_3', 'B3']",1,10,0.09999999999999999,-0.582934702229174,0.11067686755013706,0.08737582477852501,0.5278250449763222,4.606382833794265,3.016188291622092,0.4938970956439603,0.10174338302648822,0.7378978994313246,6.5383188499092,3.380777776212885,0.46464182535259785
4,SS,6,"['LH_B5B6B7', 'LH_B4B5B6', 'B5_2', 'B5_3', 'B4_2', 'B4_3']",1,"(10, 10)",0.09999999999999999,-0.3169163650400154,0.01001651157228145,-0.010608144436629274,0.5588495284118082,5.287214718423741,3.1660512834768855,0.4960959354784825,-0.06787799787572202,0.6443983709175294,5.727429101156208,4.771062034211092,0.8913205427387721
0,SS,7,"['Image_Year', 'LH_B7B8AB11', 'NR_B12B4', 'TB_B1B2B3', 'NR_B12B5', 'NR_B12B7', 'NR_B12B6']",1,6,0.09999999999999999,-3.4053649363663085,0.07993016456524638,-0.0463539304944256,0.18594579449238913,2.4250906307064266,2.116775162421552,0.6440798051875819,-0.5380285274641823,-0.0608292566573646,2.3947375798644157,1.8618385022542108,0.4048460420622516
1,SS,7,"['B3_2', 'Image_Year', 'B3_3', 'B2_3', 'B1_3', 'B2_2', 'B3']",1,2,1e-06,-0.056880943540666126,-0.1733546750522239,-0.24802269982827463,3.052590777703258e-16,2.342465627686284,1.9936799770180984,0.5188962323071733,-1.0953127157150302,,8.361322950830099,5.708029301924735,0.6817601578802833
