,WQ,nvar,var,random_state,r2,rmse,mae,smape,r2_test,rmse_test,mae_test,smape_test
4,Chla,7,"['TB_B2B3B4', 'LH_B3B4B5', 'B8A_3', 'LH_B1B2B3', 'NR_B2B3', 'B2', 'LH_B7B8AB11']",1,0.38858795166015625,0.6699621480010184,0.48769662976560635,1.7907958641619564,0.7384030222892761,0.8475120320421333,0.41647125130476265,1.900423223110803
0,Chla,8,"['TB_B2B3B4', 'LH_B3B4B5', 'LH_B7B8AB11', 'B11_3', 'B12_3', 'NR_B2B3', 'B11_2', 'B12_2']",1,2.359353542327881,1.5431678632865347,0.6672397149742776,1.9563159673278991,0.36157315969467163,0.6238752113509214,0.44260557843585774,1.986819401114861
1,Chla,8,"['TB_B2B3B4', 'LH_B3B4B5', 'B11_3', 'B12_3', 'B11_2', 'NR_B12B2', 'B12_2', 'LH_B7B8AB11']",1,0.39237478375434875,0.6578675218227009,0.466334895562608,1.9496977292310511,1.0333068370819092,0.9688684935890826,0.6021034116047574,1.9402471289626761
2,Chla,8,"['TB_B2B3B4', 'LH_B3B4B5', 'B11_3', 'B11_2', 'B8A_3', 'B8A_2', 'B12_3', 'B12_2']",1,0.8171535134315491,0.8931387418781305,0.5695351863690911,1.9139787085927829,1.435617446899414,1.2165216023444654,0.8613742264519989,1.9617655599547075
3,Chla,8,"['TB_B2B3B4', 'LH_B3B4B5', 'LH_B7B8AB11', 'B8A_3', 'NR_B2B3', 'B2', 'LH_B1B2B3', 'B4_3']",1,0.6954732537269592,0.8578882511836303,0.5446604037658817,1.8066404367461628,0.20512403547763824,0.5026445588095219,0.4071053166927139,1.8308639322705325
4,Chla,8,"['TB_B2B3B4', 'LH_B3B4B5', 'B8A_3', 'LH_B1B2B3', 'NR_B2B3', 'B2', 'LH_B7B8AB11', 'B8A_2']",1,0.3937954604625702,0.674101846840556,0.48997116278436387,1.8110011402704247,0.7445457577705383,0.8445170594933972,0.41471858670134343,1.8968217809599919
0,Chla,9,"['TB_B2B3B4', 'LH_B3B4B5', 'LH_B7B8AB11', 'B11_3', 'B12_3', 'NR_B2B3', 'B11_2', 'B12_2', 'B8A_3']",1,2.563467025756836,1.6063260002007833,0.6727222755662076,1.959809792535568,0.3822048008441925,0.628351502429306,0.44465467771097394,1.999139070873827
1,Chla,9,"['TB_B2B3B4', 'LH_B3B4B5', 'B11_3', 'B12_3', 'B11_2', 'NR_B12B2', 'B12_2', 'LH_B7B8AB11', 'NR_B1B12']",1,0.49541616439819336,0.735829280810566,0.5121385277709594,1.9561119522639063,1.0692552328109741,0.9595198029523739,0.6178505498880202,1.938932560343274
2,Chla,9,"['TB_B2B3B4', 'LH_B3B4B5', 'B11_3', 'B11_2', 'B8A_3', 'B8A_2', 'B12_3', 'B12_2', 'B11']",1,0.9219319820404053,0.9517609972914356,0.5808466139749925,1.9208352965628053,1.0965759754180908,1.0665763110956585,0.7801865518657009,1.91298359466793
3,Chla,9,"['TB_B2B3B4', 'LH_B3B4B5', 'LH_B7B8AB11', 'B8A_3', 'NR_B2B3', 'B2', 'LH_B1B2B3', 'B4_3', 'B8A_2']",1,0.7144841551780701,0.8651742424371918,0.5397316240545189,1.7793951080027104,0.21951477229595184,0.5055699798533754,0.41458081645074035,1.8106561242229788
