,WQ,nvar,var,random_state,best_layer,best_alpha,best_score,r2,adjusted_r2,corr_model,rmse,mae,smape,r2_test,corr_test,rmse_test,mae_test,smape_test
1,Chla,11,"['TB_B2B3B4', 'LH_B3B4B5', 'B11_3', 'B12_3', 'B11_2', 'NR_B12B2', 'B12_2', 'LH_B7B8AB11', 'NR_B1B12', 'B8A_3', 'NR_B1B7']",1,4,1e-06,-1.5319351450845642,0.01907009576728247,-0.08272451693611282,0.15169157083968599,1.320590683729473,0.5616662144757291,1.995357229775473,0.007175637561207093,0.3174500082855001,1.0716896555380342,0.6368830840026407,1.9974411974285557
2,Chla,11,"['TB_B2B3B4', 'LH_B3B4B5', 'B11_3', 'B11_2', 'B8A_3', 'B8A_2', 'B12_3', 'B12_2', 'B11', 'NR_B12B2', 'LH_B7B8AB11']",1,10,0.001,-0.0073164640757351854,0.31149792531548237,0.26559778700318126,0.6786678437132397,1.0502299651616183,0.5936946097042152,1.8638626583976345,-0.8117784821690714,-0.0787387866971781,0.7891520299605682,0.6156655832537534,1.8603689496500802
3,Chla,11,"['TB_B2B3B4', 'LH_B3B4B5', 'LH_B7B8AB11', 'B8A_3', 'NR_B2B3', 'B2', 'LH_B1B2B3', 'B4_3', 'B8A_2', 'B2_2', 'B11_2']",1,"(4, 4)",0.09999999999999999,-0.23420316504031474,0.014230712389299405,-0.034177600841583056,0.48304715896860945,1.1131890725774343,0.544469183656192,1.9702568446787616,-0.009448211014504215,0.3156671431777851,0.4995472153650472,0.3968590989810227,1.9628570838198416
4,Chla,11,"['TB_B2B3B4', 'LH_B3B4B5', 'B8A_3', 'LH_B1B2B3', 'NR_B2B3', 'B2', 'LH_B7B8AB11', 'B8A_2', 'B2_2', 'B4_3', 'B1']",1,5,1e-06,0.10303025428627152,0.22672559793750136,0.1966689957371922,0.5792253057489071,0.9287632361094827,0.5169278899619102,1.7994746741789094,0.08989475593431961,0.36512411379260346,0.8141627669268984,0.4006306164881879,1.8684232660716151
0,Chla,12,"['TB_B2B3B4', 'LH_B3B4B5', 'LH_B7B8AB11', 'B11_3', 'B12_3', 'NR_B2B3', 'B11_2', 'B12_2', 'B8A_3', 'NR_B2B4', 'NR_B2B5', 'B4_2']",1,"(6, 6)",1e-06,-0.6064336388948866,0.006001495311168559,-0.2533024624337441,0.6411354165916686,1.7542070750549914,0.6827706207133327,1.9907458070629218,0.02802195977200239,0.7036448325965478,0.6227472794742491,0.44151096965329645,1.9299616123231749
1,Chla,12,"['TB_B2B3B4', 'LH_B3B4B5', 'B11_3', 'B12_3', 'B11_2', 'NR_B12B2', 'B12_2', 'LH_B7B8AB11', 'NR_B1B12', 'B8A_3', 'NR_B1B7', 'B8A_2']",1,"(6, 6)",1e-06,-0.8888530098706952,0.0018818671545304255,-0.11218877659923754,0.12489656445510876,1.320799245882857,0.5746438359202839,1.9150172145721127,0.00015021152530292348,0.23882941604260774,1.0738689657863885,0.6452481922017943,1.9318832589065806
2,Chla,12,"['TB_B2B3B4', 'LH_B3B4B5', 'B11_3', 'B11_2', 'B8A_3', 'B8A_2', 'B12_3', 'B12_2', 'B11', 'NR_B12B2', 'LH_B7B8AB11', 'B4_3']",1,10,1e-06,-0.029401480928967928,0.4485710855500348,0.4082226283951593,0.7455994991782001,0.9399340333983915,0.5781308671386118,1.8403194612230638,-1.1279912337720415,-0.05626315698839296,0.8555806715478367,0.6460422236321492,1.8228303790232891
3,Chla,12,"['TB_B2B3B4', 'LH_B3B4B5', 'LH_B7B8AB11', 'B8A_3', 'NR_B2B3', 'B2', 'LH_B1B2B3', 'B4_3', 'B8A_2', 'B2_2', 'B11_2', 'B1']",1,4,1e-06,-0.2538558996983936,0.21776950019804997,0.17567637913247425,0.6181881178604627,1.0162855762277396,0.5381225593134027,1.8017060731608507,0.11009541668270573,0.31799558986437054,0.4974854702480357,0.40780163125320545,1.8238817587177738
4,Chla,12,"['TB_B2B3B4', 'LH_B3B4B5', 'B8A_3', 'LH_B1B2B3', 'NR_B2B3', 'B2', 'LH_B7B8AB11', 'B8A_2', 'B2_2', 'B4_3', 'B1', 'B11_2']",1,4,1e-06,0.10573280807676844,0.21518013353202492,0.18178354346955783,0.5723902019809133,0.9364399410649515,0.5168426799419681,1.7985577853993175,0.09500019783994373,0.4514862150364363,0.8082315447470453,0.3939786417612538,1.8715773342052753
0,SS,4,"['Image_Year', 'LH_B7B8AB11', 'NR_B12B4', 'TB_B1B2B3']",1,10,1e-06,-1.822354649468506,0.04945248208883346,-0.020958445163845596,,0.6630654037805909,0.5651570898789013,2.0,-0.37549947799224426,,0.4741548006989537,0.41022394008452984,2.0
1,SS,4,"['B3_2', 'Image_Year', 'B3_3', 'B2_3']",1,4,1e-06,0.029639077929858648,0.14124757710653701,0.11084926125190109,0.3695734434824649,0.5749682964092115,0.486636205283853,1.960172212733136,-0.463318482125493,0.12908030075712892,1.3296483014339506,0.799439186860219,1.9801038177549544
2,SS,4,"['LH_B5B6B7', 'Image_Year', 'LH_B4B5B6', 'B5_2']",1,4,1e-06,-0.2569637180114618,0.5497913631007989,0.5393213948008175,0.740309012756076,0.7059714711806196,0.525852373011938,1.6663634134966132,-0.16013035088276828,0.35001069799034557,0.9239810224988986,0.7848969304344539,1.4263078089391403
3,SS,4,"['LH_B5B6B7', 'LH_B4B5B6', 'B5_2', 'B3_2']",1,6,1e-06,-0.5257306386159952,0.14051232553606807,0.12562942208214722,0.6120769777202391,0.8393742153077713,0.5510655708663127,1.688997914221609,0.08052237717328292,0.48988777709094294,1.2245610132600429,0.6362476871360019,1.6943352591371053
4,SS,4,"['LH_B5B6B7', 'LH_B4B5B6', 'B5_2', 'B5_3']",1,5,1e-06,-0.45632679611627297,-0.022188982330545892,-0.036288140707518846,,0.9881407196565026,0.5868403667183564,2.0,-0.05095667136450688,,1.057302979653252,0.8625114805842375,2.0
0,SS,5,"['Image_Year', 'LH_B7B8AB11', 'NR_B12B4', 'TB_B1B2B3', 'NR_B12B5']",1,4,1e-06,-1.282744741536892,0.2189490078269496,0.1452649519615674,,0.6630654037805909,0.5651570898789013,2.0,-0.5160140415912644,,0.4741548006989537,0.41022394008452984,2.0
1,SS,5,"['B3_2', 'Image_Year', 'B3_3', 'B2_3', 'B1_3']",1,6,1e-06,0.011433867806143083,0.21367362926746858,0.17856977343119484,0.18212171458740642,0.5761331382052697,0.4879395268730755,1.9962335329166936,-0.6249758799993002,,1.332598445246087,0.8023497259276293,2.0
